exposure,veh_value,claimcst0,numclaims,veh_age,gender,area,agecat
0.971937029,1.75,0,0,2,0,2,2
0.095824778,2.65,0,0,1,0,3,3
0.851471595,4.06,5434.439987,1,2,1,6,3
0.317590691,1.39,865.789999,1,3,0,1,4
0.906228611,1.19,0,0,2,0,2,5
0.906228611,1.19,0,0,2,0,1,1
0.353182752,0.79,0,0,3,0,2,2
0.854209446,1.74,0,0,2,0,3,3
0.093086927,0.77,0,0,4,1,3,2
0.030116359,2.58,0,0,2,1,1,5
0.030116359,0.79,0,0,3,0,5,3
0.673511294,1.79,0,0,4,0,5,3
0.046543463,1.79,0,0,1,1,3,6
0.854209446,1.9,0,0,1,1,3,1
0.095824778,1.84,0,0,4,1,1,3
0.030116359,0.39,0,0,4,0,2,4
0.024640657,5.39,0,0,2,1,1,5
0.030116359,1.43,0,0,2,0,2,4
0.229979466,2.33,0,0,3,0,3,3
0.34770705,3.68,0,0,1,0,5,2
0.317590691,3.43,0,0,2,0,4,2
0.229979466,1.13,0,0,3,1,1,3
0.317590691,2.65,0,0,3,1,6,5
0.229979466,1.98,0,0,3,1,1,2
0.249144422,0.68,0,0,3,0,5,3
0.665297741,1.15,0,0,3,1,3,4
0.999315537,3.19,0,0,3,1,6,4
0.344969199,1.14,0,0,3,1,3,4
0.219028063,1.43,0,0,2,0,3,4
0.777549624,1.22,0,0,4,0,4,2
0.24366872,1.75,0,0,2,1,1,4
0.750171116,0.38,0,0,4,0,1,2
0.232717317,4.7,0,0,2,1,4,2
0.317590691,2.66,1105.769999,1,1,0,6,5
0.229979466,1.59,0,0,1,0,1,1
0.027378508,0.54,0,0,4,1,1,4
0.071184121,0.5,200,1,4,0,1,5
0.229979466,1.3,0,0,2,0,2,1
0.027378508,1.41,0,0,2,0,3,4
0.317590691,1.75,0,0,2,0,2,4
0.030116359,2.29,0,0,2,1,3,2
0.221765914,4.64,0,0,1,0,4,3
0.27652293,0.8,0,0,3,1,3,6
0.851471595,3.55,0,0,2,0,3,3
0.317590691,1.75,0,0,2,1,1,3
0.6954141,1.48,0,0,2,0,2,2
0.394250513,1.22,0,0,3,1,3,3
0.306639288,3.14,0,0,2,0,1,2
0.317590691,1.51,0,0,4,1,1,4
0.722792608,1.65,0,0,3,1,3,4
0.317590691,1.64,0,0,2,1,3,4
0.344969199,2.17,0,0,3,0,6,5
0.317590691,1.31,0,0,2,1,2,2
0.596851472,1.16,739.2299995,2,4,0,2,2
0.878850103,0.77,0,0,4,0,3,5
0.317590691,0.43,0,0,4,0,2,3
0.722792608,4.98,0,0,1,1,6,5
0.906228611,1.72,0,0,2,0,4,6
0.670773443,2.47,0,0,3,1,4,2
0.722792608,4.17,0,0,2,0,3,2
0.229979466,1.13,0,0,3,1,2,6
0.027378508,0.67,0,0,4,0,1,5
0.906228611,3.56,3230.599999,1,3,1,6,4
0.317590691,2.56,0,0,2,0,1,3
0.229979466,1.36,0,0,1,0,3,5
0.999315537,3.999,0,0,1,1,3,1
0.090349076,1.64,0,0,2,0,1,4
0.654346338,2.15,200,1,3,0,1,5
0.229979466,0.89,0,0,3,1,3,2
0.90349076,3.03,200,1,1,1,3,1
0.339493498,2.41,407.8399997,1,3,1,5,1
0.769336071,0.73,0,0,4,1,5,5
0.462696783,0.82,0,0,4,0,6,1
0.093086927,1.39,0,0,3,1,1,2
0.344969199,2.54,0,0,3,1,3,5
0.344969199,0.76,0,0,4,1,4,3
0.229979466,0.41,0,0,4,1,1,5
0.583162218,3.599,0,0,1,0,2,3
0.306639288,1.98,0,0,3,0,1,3
0.229979466,0.76,0,0,4,0,1,3
0.229979466,0.53,0,0,4,0,2,3
0.344969199,1.86,0,0,2,0,2,4
0.292950034,0.22,0,0,4,1,3,6
0.722792608,1.65,0,0,3,0,6,3
0.224503765,1.33,0,0,3,0,1,6
0.306639288,0.85,0,0,3,0,1,3
0.616016427,1.97,0,0,3,1,4,5
0.019164956,1.15,0,0,4,0,1,4
0.290212183,2.65,0,0,1,1,1,5
0.616016427,0.45,0,0,4,0,2,6
0.616016427,0.45,0,0,4,0,1,6
0.616016427,0.67,0,0,4,0,4,5
0.648870637,1.3,0,0,2,0,3,5
0.616016427,0.59,0,0,4,0,1,4
0.616016427,1.55,0,0,2,0,5,5
0.246406571,1.56,0,0,1,0,4,5
0.616016427,0.41,0,0,4,0,1,5
0.646132786,1.72,0,0,2,0,2,6
0.616016427,0.44,0,0,4,1,4,6
0.616016427,2.58,0,0,3,1,4,6
0.229979466,1.84,0,0,1,1,3,3
0.616016427,0.22,0,0,4,0,2,5
0.616016427,1.72,1619.829998,1,2,0,1,6
0.229979466,3.05,0,0,2,0,6,2
0.336755647,1.85,0,0,1,0,4,5
0.616016427,3.21,0,0,1,1,2,4
0.616016427,0.89,0,0,4,1,3,6
0.38329911,1.98,0,0,2,1,1,2
0.38329911,0.52,0,0,4,0,1,6
0.616016427,1.92,1010.919998,1,4,1,1,5
0.616016427,1.15,0,0,3,0,3,2
0.616016427,0.5,0,0,4,0,3,3
0.229979466,6.54,0,0,1,0,4,4
0.616016427,5.14,0,0,1,1,2,6
0.616016427,0.67,0,0,4,0,3,4
0.38329911,1.39,0,0,3,1,3,2
0.38329911,4.65,0,0,1,0,5,3
0.38329911,1.43,0,0,3,0,4,2
0.38329911,0.43,0,0,4,0,3,2
0.618754278,1.02,0,0,3,0,2,5
0.17522245,1.51,0,0,3,0,2,2
0.257357974,2.649,9424.349976,1,1,1,1,1
0.616016427,1.31,0,0,4,1,4,3
0.424366872,2.48,0,0,3,1,3,1
0.257357974,1.74,0,0,2,0,1,2
0.093086927,1.62,0,0,4,0,6,3
0.616016427,5.43,0,0,1,0,3,3
0.616016427,0.65,0,0,4,1,1,4
0.616016427,0.35,0,0,4,1,5,5
0.616016427,3.73,0,0,2,1,1,5
0.344969199,1.61,0,0,2,0,3,4
0.616016427,0.82,0,0,4,0,1,6
0.616016427,1.33,0,0,4,1,6,1
0.342231348,0.78,0,0,3,0,3,4
0.616016427,3.98,0,0,2,0,3,2
0.616016427,0.95,0,0,4,1,1,6
0.38329911,1.14,0,0,4,0,2,3
0.616016427,0.53,0,0,4,0,4,5
0.616016427,1.5,0,0,4,1,1,3
0.616016427,1.76,0,0,2,1,3,3
0.314852841,1,0,0,2,1,2,4
0.616016427,1.22,0,0,3,1,1,4
0.38329911,2.82,0,0,3,0,3,3
0.900752909,2.13,0,0,2,0,1,2
0.284736482,1.01,0,0,4,1,2,6
0.616016427,1.84,0,0,2,0,1,6
0.38329911,3.11,0,0,3,1,3,3
0.616016427,0.39,0,0,4,1,1,4
0.093086927,1.01,0,0,3,0,5,1
0.616016427,2.58,0,0,3,1,3,5
0.616016427,0.51,0,0,4,0,1,4
0.616016427,1.02,0,0,3,0,3,6
0.646132786,1.63,0,0,2,0,3,5
0.616016427,0.84,0,0,3,0,3,4
0.616016427,2.34,0,0,3,1,3,5
0.616016427,1.86,238.6400003,1,2,0,3,3
0.616016427,7.2,0,0,3,0,4,6
0.616016427,0.46,0,0,4,0,1,4
0.90349076,1.66,0,0,3,0,1,3
0.76659822,3.71,0,0,1,0,3,3
0.616016427,1.62,0,0,4,0,6,3
0.616016427,0.58,0,0,4,0,2,4
0.616016427,3.06,0,0,3,0,6,4
0.769336071,1.17,0,0,3,0,4,1
0.616016427,0.98,0,0,3,0,2,3
0.616016427,1.02,0,0,4,0,2,2
0.616016427,1.4,0,0,3,0,1,4
0.098562628,2.97,0,0,1,1,6,4
0.618754278,1.78,0,0,2,0,3,2
0.344969199,0.41,0,0,4,0,2,3
0.941820671,2.74,0,0,2,1,3,3
0.38329911,5.299,0,0,1,0,4,3
0.254620123,1.42,0,0,1,1,3,3
0.616016427,2.01,0,0,3,1,5,5
0.616016427,1.54,200,1,2,0,2,3
0.616016427,4,0,0,2,0,1,4
0.646132786,1.3,0,0,2,1,3,4
0.1724846,1.34,0,0,2,0,2,3
0.38329911,1.67,0,0,2,0,5,5
0.750171116,1.88,369.1799998,1,3,1,4,3
0.344969199,1.03,0,0,3,0,4,4
0.229979466,1.43,0,0,4,1,4,1
0.684462697,0.89,353.77,1,3,0,4,3
0.093086927,1.13,0,0,4,0,2,2
0.191649555,1.9,0,0,3,1,3,5
0.87063655,2.11,0,0,2,0,3,3
0.750171116,1.82,0,0,1,1,4,4
0.999315537,0,0,0,3,1,6,5
0.752908967,3.03,0,0,1,1,4,3
0.41615332,3.7,0,0,3,1,3,1
0.391512663,2.22,0,0,3,0,3,2
0.646132786,2.15,0,0,3,0,1,4
0.646132786,0.58,0,0,4,1,1,3
0.62696783,1.53,0,0,4,1,1,4
0.646132786,1.55,0,0,2,0,3,2
0.646132786,1.12,0,0,4,1,1,3
0.925393566,0.48,0,0,4,0,1,6
0.093086927,1.67,0,0,1,1,2,2
0.643394935,1.02,0,0,3,1,3,4
0.249144422,1.64,0,0,4,1,3,3
0.55578371,2.01,0,0,3,1,6,5
0.925393566,0.85,0,0,3,0,2,4
0.646132786,1.42,0,0,1,0,3,6
0.249144422,2.75,0,0,3,0,2,3
0.128678987,1.66,0,0,2,1,6,3
0.229979466,1.66,0,0,3,1,3,5
0.219028063,1.18,0,0,4,0,2,3
0.717316906,0.95,0,0,4,0,3,6
0.643394935,1.77,0,0,2,1,3,4
0.720054757,1.3,0,0,1,0,2,3
0.785763176,0.65,0,0,4,0,2,5
0.906228611,0.73,0,0,4,1,3,6
0.503764545,1.12,0,0,2,0,2,1
0.229979466,0.98,0,0,3,0,5,6
0.769336071,1.399,0,0,1,0,2,5
0.199863108,1.31,0,0,4,1,3,5
0.229979466,1.76,0,0,1,0,5,1
0.900752909,1.42,0,0,1,0,3,3
0.229979466,0.41,0,0,4,0,5,2
0.229979466,4,0,0,2,1,3,3
0.093086927,1.19,0,0,4,1,2,4
0.750171116,0.47,0,0,4,0,3,1
0.027378508,2.01,0,0,3,0,6,3
0.906228611,1.55,0,0,4,1,4,1
0.199863108,1.45,0,0,2,0,4,2
0.093086927,1.2,0,0,2,1,3,1
0.229979466,1.03,0,0,3,0,1,1
0.851471595,1.89,0,0,2,0,1,6
0.301163587,2,0,0,1,1,2,4
0.249144422,1.73,0,0,2,1,6,3
0.229979466,1.07,0,0,3,0,4,2
0.249144422,2.72,0,0,1,0,1,3
0.851471595,3.22,0,0,1,1,3,3
0.235455168,0.45,0,0,4,0,5,4
0.052019165,0.48,0,0,4,0,3,6
0.605065024,1.22,0,0,3,1,3,4
0.999315537,3.19,0,0,2,0,1,4
0.377823409,2.79,0,0,1,0,3,2
0.851471595,0.9,0,0,4,1,1,2
0.249144422,6.1,0,0,1,1,3,5
0.191649555,4.46,989.9199982,1,2,1,2,2
0.648870637,4.56,0,0,2,1,3,3
0.199863108,1.48,0,0,1,0,3,5
0.851471595,2.33,0,0,2,1,3,5
0.249144422,2.67,0,0,3,0,4,4
0.027378508,1.59,0,0,2,0,1,3
0.646132786,4.32,736.8499985,1,2,1,1,5
0.539356605,1.05,0,0,2,1,3,3
0.925393566,1.06,0,0,3,1,5,4
0.249144422,6.07,0,0,1,1,5,3
0.851471595,5.59,369.1499996,1,1,1,3,3
0.665297741,1.44,500,1,4,1,6,2
0.073921971,1.41,0,0,2,0,3,6
0.199863108,0.47,0,0,4,1,1,3
0.353182752,1.84,0,0,4,0,2,4
0.851471595,2.81,353.77,1,1,1,3,3
0.249144422,2.55,0,0,1,0,3,5
0.848733744,3.01,0,0,2,1,5,4
0.249144422,1.6,0,0,2,0,4,4
0.772073922,1.59,0,0,3,0,4,5
0.646132786,2.01,0,0,3,0,4,2
0.646132786,1.43,0,0,4,0,4,6
0.402464066,0.73,0,0,4,0,2,3
0.235455168,0.79,0,0,4,0,3,4
0.353182752,1.49,0,0,2,0,3,4
0.925393566,0.67,0,0,4,1,3,5
0.772073922,1.23,0,0,2,0,1,2
0.027378508,1.67,0,0,2,0,5,6
0.355920602,1.26,0,0,3,0,3,1
0.646132786,3.75,0,0,2,0,5,3
0.643394935,0.34,0,0,4,0,4,4
0.353182752,1.61,0,0,2,1,2,3
0.999315537,1.41,0,0,2,0,1,2
0.249144422,2.95,0,0,1,0,4,6
0.851471595,1.578,0,0,1,1,1,4
0.221765914,1.12,0,0,2,0,2,3
0.027378508,1.36,0,0,2,0,3,4
0.249144422,0.92,0,0,3,0,3,2
0.851471595,0.73,0,0,3,0,3,1
0.999315537,1.22,0,0,3,0,5,6
0.10403833,5.65,0,0,1,1,3,3
0.613278576,3,6372.029999,1,3,0,3,2
0.227241615,0.54,0,0,4,0,1,4
0.199863108,1.76,0,0,1,0,2,5
0.331279945,1.07,0,0,4,1,2,3
0.145106092,1.14,0,0,4,1,1,2
0.095824778,0.2,0,0,4,1,1,3
0.646132786,1.51,0,0,3,1,2,3
0.353182752,2.29,500,1,4,0,6,4
0.925393566,0.39,1379.039997,1,4,0,3,6
0.221765914,1.75,0,0,2,0,2,2
0.314852841,1.31,0,0,2,0,1,1
0.391512663,0.47,0,0,4,0,4,3
0.20807666,1.09,0,0,3,0,3,3
0.249144422,1.3,0,0,2,0,3,5
0.772073922,1.23,0,0,2,1,3,1
0.227241615,1.9,0,0,1,0,1,4
0.851471595,1.87,0,0,3,0,1,4
0.125941136,1.17,0,0,4,1,3,3
0.643394935,2.37,0,0,3,1,3,3
0.224503765,1.68,0,0,3,0,3,4
0.353182752,1.83,0,0,3,1,3,1
0.925393566,1.29,200,1,3,1,4,3
0.229979466,0.3,0,0,4,1,2,4
0.249144422,1.52,0,0,3,0,1,3
0.643394935,2.35,0,0,2,0,3,3
0.213552361,0.34,0,0,4,0,2,1
0.249144422,0.99,0,0,2,0,5,5
0.851471595,1.84,0,0,2,0,1,4
0.851471595,1.23,0,0,3,0,2,4
0.689938398,2.03,0,0,2,0,1,5
0.227241615,1.51,0,0,4,1,3,2
0.227241615,0.76,0,0,4,0,2,1
0.224503765,1.9,0,0,4,0,3,4
0.17522245,2.75,0,0,1,0,3,3
0.224503765,0.9,0,0,3,0,1,6
0.720054757,1.74,0,0,2,0,1,6
0.925393566,2.39,0,0,3,1,5,6
0.646132786,2.14,0,0,3,1,5,4
0.646132786,1.03,0,0,2,0,3,2
0.605065024,1.28,0,0,4,1,6,4
0.227241615,0.67,0,0,4,0,2,3
0.720054757,0.9,0,0,3,0,2,4
0.249144422,1.07,0,0,3,1,3,4
0.249144422,2.29,0,0,1,1,3,3
0.377823409,1.13,937.5599957,1,4,0,2,1
0.851471595,1.37,0,0,2,1,1,3
0.851471595,0.62,0,0,4,1,1,4
0.046543463,1.26,0,0,2,0,6,2
0.041067762,1.98,0,0,4,0,3,4
0.999315537,0,2724.339996,2,4,1,1,3
0.249144422,2.04,0,0,1,1,2,1
0.249144422,2.1,0,0,3,0,1,3
0.224503765,1.82,0,0,1,0,1,4
0.783025325,0.31,0,0,4,0,5,6
0.249144422,2.29,0,0,1,1,1,2
0.249144422,1.38,0,0,1,0,2,1
0.27926078,1.85,0,0,2,0,3,3
0.027378508,1.5,0,0,2,0,3,3
0.073921971,2.78,0,0,2,1,3,5
0.525667351,2.49,0,0,2,1,3,3
0.13963039,1.3,0,0,4,1,3,3
0.224503765,5.236,0,0,1,1,3,3
0.027378508,0.99,0,0,3,0,2,5
0.851471595,0.93,0,0,4,0,2,4
0.720054757,2.76,0,0,1,0,4,3
0.925393566,1.62,0,0,3,1,1,5
0.309377139,3.22,0,0,2,0,6,2
0.750171116,2.41,12879.65997,1,1,0,2,3
0.224503765,1.11,0,0,4,1,3,2
0.851471595,0.66,0,0,4,0,1,2
0.750171116,3.69,0,0,2,1,3,1
0.254620123,0.93,0,0,4,0,2,5
0.301163587,1.67,0,0,2,0,1,6
0.221765914,1.86,0,0,1,1,3,1
0.246406571,3.47,937.2799988,1,1,1,2,3
0.27926078,1.53,0,0,3,1,3,2
0.829568789,1.39,0,0,1,0,1,4
0.309377139,1.26,0,0,2,1,2,4
0.829568789,2.82,0,0,1,1,1,5
0.314852841,1.79,0,0,2,1,4,4
0.224503765,1.2,0,0,1,0,3,3
0.851471595,3.14,19142.13268,2,3,1,3,1
0.309377139,0.68,0,0,3,0,4,3
0.646132786,1.17,0,0,2,1,3,3
0.358658453,1.71,0,0,2,0,1,3
0.309377139,1.12,0,0,3,0,3,2
0.224503765,0.39,0,0,4,1,2,3
0.689938398,1.64,0,0,3,0,3,4
0.547570157,1.349,0,0,1,0,3,3
0.720054757,1.81,0,0,4,1,3,2
0.101300479,0.55,0,0,4,0,1,1
0.224503765,1,0,0,3,0,2,2
0.073921971,1.18,0,0,3,1,2,6
0.1724846,2,0,0,2,0,3,4
0.525667351,1.428,0,0,1,0,3,4
0.224503765,2.87,0,0,2,0,1,3
0.862422998,1.16,0,0,3,1,1,6
0.027378508,0.92,0,0,3,1,3,4
0.90349076,1.38,0,0,2,0,3,3
0.309377139,1.64,0,0,4,1,1,2
0.698151951,2.3,0,0,3,1,2,5
0.216290212,1.74,0,0,2,0,3,4
0.845995893,1.37,0,0,1,0,3,1
0.90349076,1.3,0,0,4,0,2,1
0.525667351,2.85,0,0,2,1,1,1
0.27926078,1.61,0,0,2,0,6,1
0.851471595,2.234,0,0,1,0,4,6
0.911704312,1.39,0,0,3,1,2,5
0.093086927,0.43,0,0,4,0,1,6
0.177960301,1.24,0,0,3,0,4,5
0.372347707,2.47,0,0,1,0,1,5
0.908966461,1.6,0,0,2,0,2,5
0.908966461,2.15,0,0,3,1,4,6
0.911704312,1.98,2659.369995,1,4,1,3,6
0.908966461,0.48,0,0,4,0,3,2
0.906228611,3.3,2349.349999,1,2,1,1,5
0.908966461,1.49,0,0,3,1,5,6
0.65982204,1.55,0,0,4,1,3,6
0.027378508,6.18,0,0,4,1,1,4
0.908966461,0.62,367.7299995,1,4,1,3,6
0.224503765,1.3,0,0,2,0,1,2
0.087611225,1.77,0,0,3,1,2,6
0.908966461,6.56,0,0,1,0,5,5
0.906228611,1.85,0,0,2,1,2,5
0.906228611,1.05,0,0,2,0,5,6
0.911704312,0.91,0,0,4,0,6,5
0.911704312,1.51,0,0,4,1,2,4
0.221765914,1.46,0,0,1,0,1,1
0.084873374,5.08,0,0,1,1,5,4
0.906228611,4.09,0,0,2,1,2,4
0.093086927,0.44,0,0,4,1,4,5
0.895277207,4.11,0,0,3,0,3,3
0.999315537,3.1,0,0,3,1,4,4
0.906228611,2.16,0,0,1,0,1,4
0.481861739,1.7,0,0,2,0,6,6
0.093086927,0.6,0,0,4,0,1,6
0.906228611,0.86,0,0,4,1,5,4
0.908966461,2.54,0,0,3,1,2,4
0.911704312,2.2,0,0,2,1,4,6
0.27926078,0.78,0,0,4,0,3,4
0.889801506,1.63,0,0,4,1,3,4
0.002737851,3,0,0,1,1,2,1
0.095824778,0.89,0,0,4,0,5,2
0.911704312,0.9,0,0,4,1,1,5
0.224503765,3.96,0,0,2,1,5,2
0.027378508,0.95,0,0,3,0,1,2
0.906228611,1.74,0,0,2,0,2,3
0.911704312,1.89,0,0,3,1,5,5
0.999315537,1.51,0,0,3,0,3,4
0.892539357,1.64,0,0,2,1,2,6
0.906228611,1.74,0,0,2,0,1,6
0.911704312,0.54,0,0,4,0,4,6
0.911704312,1.2,0,0,3,0,1,4
0.908966461,1.29,0,0,3,1,4,6
0.906228611,1.92,0,0,4,1,1,1
0.848733744,4.18,0,0,2,0,1,5
0.093086927,1.74,0,0,2,1,1,4
0.908966461,0.39,0,0,4,0,3,5
0.908966461,1.89,0,0,2,1,3,5
0.848733744,0.37,0,0,4,0,2,5
0.574948665,1.6835,0,0,1,1,5,1
0.911704312,1.6,0,0,3,0,1,4
0.911704312,4.09,0,0,2,0,6,3
0.906228611,0.84,0,0,3,1,1,3
0.607802875,1.39,0,0,4,0,4,4
0.908966461,1.03,0,0,4,0,2,4
0.087611225,1.29,0,0,3,0,1,2
0.908966461,0.62,0,0,4,1,2,3
0.999315537,0.99,0,0,4,1,3,5
0.542094456,1.76,0,0,2,0,3,6
0.65982204,2.91,0,0,1,1,2,5
0.224503765,0.84,0,0,3,0,3,3
0.342231348,4.3,0,0,3,1,1,4
0.908966461,1.24,0,0,3,0,2,3
0.908966461,0.41,0,0,4,1,2,3
0.098562628,1.37,0,0,1,0,1,3
0.117727584,1.57,0,0,2,0,3,4
0.454483231,1.71,0,0,3,1,4,6
0.911704312,1.28,0,0,3,0,3,4
0.720054757,0.89,0,0,3,0,4,5
0.999315537,2.44,0,0,1,1,1,4
0.336755647,1.45,0,0,3,0,2,5
0.911704312,0.39,0,0,4,1,5,5
0.095824778,1.07,0,0,3,1,1,1
0.041067762,2.389,0,0,1,1,2,3
0.908966461,0.8,0,0,4,0,2,4
0.303901437,0.78,0,0,4,0,1,4
0.06844627,0.6,0,0,4,1,2,4
0.093086927,0.6,0,0,4,1,1,6
0.908966461,1.67,0,0,4,1,2,5
0.087611225,1.9,0,0,2,1,3,5
0.643394935,2.33,0,0,1,0,1,3
0.906228611,1.43,0,0,3,0,2,5
0.906228611,0.41,0,0,4,0,2,2
0.1724846,1.3,0,0,2,0,3,5
0.807665982,4.09,0,0,1,0,3,5
0.911704312,0.82,0,0,3,1,3,4
0.911704312,1.51,0,0,3,1,4,3
0.169746749,0.8,0,0,3,1,3,3
0.465434634,2.51,0,0,1,1,3,4
0.911704312,1.57,0,0,2,0,1,4
0.908966461,0.57,0,0,4,0,3,1
0.906228611,0.51,0,0,4,1,2,6
0.457221081,0.73,0,0,4,0,2,2
0.525667351,0.72,0,0,3,0,1,3
0.906228611,0.39,0,0,4,1,2,6
0.525667351,3.4,0,0,2,1,3,3
0.752908967,0.92,0,0,4,0,5,5
0.525667351,2.234,0,0,1,0,3,1
0.224503765,1.67,0,0,4,1,6,3
0.194387406,2.94,0,0,1,1,2,4
0.906228611,0.41,0,0,4,1,2,3
0.906228611,1.85,0,0,2,1,2,6
0.235455168,0.71,0,0,4,0,4,2
0.911704312,0.82,0,0,4,0,1,3
0.911704312,3.14,0,0,3,1,1,4
0.911704312,2.05,0,0,3,0,2,4
0.911704312,1.54,0,0,2,0,3,1
0.908966461,2.39,0,0,3,0,3,3
0.906228611,0.99,0,0,3,0,5,5
0.906228611,1.06,0,0,3,0,1,4
0.785763176,2.77,0,0,3,0,3,5
0.525667351,2.64,462.6999989,1,2,0,3,1
0.906228611,1.29,0,0,3,1,4,5
0.906228611,2.01,0,0,2,0,4,3
0.906228611,1.48,0,0,2,0,5,6
0.10403833,1.51,0,0,4,0,2,4
0.906228611,1.06,0,0,3,1,2,3
0.999315537,7.199,782.3599987,1,1,0,3,1
0.911704312,1.03,0,0,4,0,3,4
0.342231348,0.31,0,0,4,0,3,5
0.908966461,2.81,0,0,2,0,1,4
0.908966461,1.3,0,0,3,1,3,3
0.744695414,4.31,0,0,2,0,6,2
0.908966461,1.96,0,0,2,0,2,3
0.123203285,0.73,0,0,4,0,5,4
0.999315537,1.73,0,0,1,0,3,5
0.906228611,1.36,0,0,3,1,2,3
0.999315537,1.87,0,0,2,0,1,4
0.087611225,1.65,353.77,1,4,1,3,5
0.246406571,1.43,0,0,3,1,1,2
0.246406571,6.51,0,0,1,1,1,3
0.911704312,0.51,2494.599999,1,4,0,2,6
0.906228611,0.5,0,0,4,1,1,6
0.911704312,1.02,0,0,3,0,2,5
0.911704312,0.58,0,0,4,1,3,4
0.06844627,2.29,0,0,1,1,3,4
0.147843943,2.32,0,0,3,1,3,6
0.147843943,0.69,0,0,4,1,1,6
0.221765914,4.23,0,0,1,0,1,2
0.125941136,3.3,0,0,1,1,4,6
0.147843943,1.76,0,0,2,1,4,5
0.309377139,3.4,0,0,2,1,1,4
0.093086927,1.01,0,0,4,0,3,3
0.298425736,0.54,0,0,4,1,3,2
0.906228611,0.39,0,0,4,0,2,2
0.906228611,0.84,0,0,4,1,1,3
0.052019165,1.29,0,0,3,1,2,3
0.093086927,2.92,0,0,2,0,1,5
0.908966461,2.98,0,0,1,1,5,3
0.413415469,1.749,13589.78995,1,1,0,1,2
0.147843943,0.97,0,0,3,0,1,5
0.911704312,1.23,0,0,4,0,2,6
0.147843943,0.67,0,0,3,1,3,2
0.147843943,0.69,0,0,4,0,4,6
0.925393566,0.84,0,0,4,0,1,4
0.147843943,1.32,0,0,4,0,4,6
0.908966461,3.57,0,0,2,1,5,6
0.908966461,2.97,0,0,1,0,3,6
0.005475702,6.64,0,0,1,1,1,3
0.224503765,0.31,0,0,4,1,4,5
0.908966461,0.44,0,0,4,1,2,3
0.851471595,0.91,0,0,3,0,1,3
0.563997262,0.43,0,0,4,1,3,4
0.224503765,0.82,0,0,4,1,5,1
0.090349076,1.2,0,0,2,1,3,4
0.339493498,1.15,0,0,4,0,2,3
0.147843943,1.11,0,0,4,0,3,4
0.908966461,1.51,0,0,4,1,5,1
0.925393566,1.36,0,0,4,1,2,4
0.224503765,1.02,0,0,4,1,3,4
0.147843943,1.71,0,0,2,1,1,6
0.906228611,0.84,0,0,3,1,3,6
0.147843943,0.45,0,0,4,1,3,5
0.906228611,0.98,0,0,3,1,1,6
